datetime,temp,humidity,pressure,wind_speed,wind_deg,clouds,pm10,pm2_5,co,no2,so2,o3,aqi,unix_time,hour,day,month,weekday,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,target
2025-08-01 00:00:00,26.5,90.7,1000.2,10.1,250.3,95.0,45.8,19.7,174.0,8.4,8.7,45.0,80.8,1754006400,0,1,8,4,80.8,80.8,80.8,80.8,80.3
2025-08-01 01:00:00,27.0,91.8,999.9,11.0,251.9,75.0,45.2,19.3,217.0,9.0,9.4,46.0,80.3,1754010000,1,1,8,4,80.8,80.8,80.8,80.8,79.8
2025-08-01 02:00:00,27.4,88.6,1000.8,13.3,249.4,23.0,51.0,20.3,277.0,9.8,10.4,48.0,79.8,1754013600,2,1,8,4,80.3,80.8,80.8,80.8,79.3
2025-08-01 03:00:00,28.5,75.1,1001.3,14.2,244.4,47.0,54.1,20.5,312.0,9.9,11.3,51.0,79.3,1754017200,3,1,8,4,79.8,80.8,80.8,80.8,78.6
2025-08-01 04:00:00,29.0,73.1,1001.6,13.9,236.1,99.0,64.7,21.8,295.0,8.6,12.0,58.0,78.6,1754020800,4,1,8,4,79.3,80.3,80.8,80.8,78.0
2025-08-01 05:00:00,29.5,70.4,1001.8,16.4,230.4,88.0,69.2,23.1,253.0,6.6,12.6,66.0,78.0,1754024400,5,1,8,4,78.6,79.8,80.8,80.8,77.4
2025-08-01 06:00:00,29.6,70.4,1002.0,18.2,227.8,65.0,67.5,23.1,220.0,5.0,12.9,73.0,77.4,1754028000,6,1,8,4,78.0,79.3,80.8,80.8,76.7
2025-08-01 07:00:00,29.9,70.3,1002.1,19.3,229.9,38.0,68.0,23.6,209.0,4.2,12.6,76.0,76.7,1754031600,7,1,8,4,77.4,78.6,80.3,80.8,76.2
2025-08-01 08:00:00,30.6,66.5,1001.5,17.9,230.7,53.0,64.0,23.1,208.0,3.9,11.8,78.0,76.2,1754035200,8,1,8,4,76.7,78.0,79.8,80.8,75.5
2025-08-01 09:00:00,30.6,65.7,1000.8,17.2,232.7,44.0,62.6,22.7,215.0,4.0,11.3,77.0,75.5,1754038800,9,1,8,4,76.2,77.4,79.3,80.8,75.0
2025-08-01 10:00:00,30.5,65.9,1000.6,17.6,230.0,34.0,58.6,21.9,234.0,4.4,11.1,74.0,75.0,1754042400,10,1,8,4,75.5,76.7,78.6,80.8,74.6
2025-08-01 11:00:00,30.0,68.4,1000.2,17.2,224.6,44.0,57.3,21.3,262.0,5.3,11.1,68.0,74.6,1754046000,11,1,8,4,75.0,76.2,78.0,80.8,74.2
2025-08-01 12:00:00,29.6,71.1,1000.1,16.8,230.7,33.0,72.6,25.5,282.0,7.0,11.7,63.0,74.2,1754049600,12,1,8,4,74.6,75.5,77.4,80.8,74.0
2025-08-01 13:00:00,29.0,76.7,1000.7,16.1,222.3,83.0,83.8,28.1,290.0,11.0,11.8,56.0,74.0,1754053200,13,1,8,4,74.2,75.0,76.7,80.8,74.1
2025-08-01 14:00:00,28.5,79.5,1001.1,13.8,227.1,52.0,69.6,25.8,291.0,16.6,12.0,45.0,74.1,1754056800,14,1,8,4,74.0,74.6,76.2,80.8,73.6
2025-08-01 15:00:00,28.1,81.8,1001.7,14.1,224.5,89.0,58.2,25.1,288.0,20.5,12.1,38.0,73.6,1754060400,15,1,8,4,74.1,74.2,75.5,80.8,73.5
2025-08-01 16:00:00,27.7,85.0,1002.4,13.4,226.6,100.0,58.4,25.4,285.0,21.5,12.1,36.0,73.5,1754064000,16,1,8,4,73.6,74.0,75.0,80.8,73.5
2025-08-01 17:00:00,27.5,86.0,1002.6,13.0,232.3,87.0,57.7,25.3,278.0,20.9,12.0,36.0,73.5,1754067600,17,1,8,4,73.5,74.1,74.6,80.8,73.5
2025-08-01 18:00:00,27.2,88.3,1002.6,13.3,238.2,26.0,73.6,29.0,261.0,19.6,11.7,37.0,73.5,1754071200,18,1,8,4,73.5,73.6,74.2,80.8,73.9
2025-08-01 19:00:00,27.0,89.1,1002.4,13.8,236.7,11.0,59.8,25.6,226.0,17.4,10.9,39.0,73.9,1754074800,19,1,8,4,73.5,73.5,74.0,80.8,74.0
2025-08-01 20:00:00,26.9,89.1,1001.9,12.5,249.0,31.0,58.2,24.4,181.0,14.5,9.9,42.0,74.0,1754078400,20,1,8,4,73.9,73.5,74.1,80.8,74.1
2025-08-01 21:00:00,26.6,90.7,1001.2,12.6,256.0,33.0,56.7,23.2,148.0,11.9,9.1,44.0,74.1,1754082000,21,1,8,4,74.0,73.5,73.6,80.8,74.2
2025-08-01 22:00:00,26.5,90.9,1001.0,12.7,263.5,73.0,56.8,22.2,130.0,9.8,8.5,46.0,74.2,1754085600,22,1,8,4,74.1,73.9,73.5,80.8,74.2
2025-08-01 23:00:00,26.6,89.9,1001.0,12.3,259.0,100.0,59.1,21.9,124.0,8.1,8.2,48.0,74.2,1754089200,23,1,8,4,74.2,74.0,73.5,80.8,74.3
2025-08-02 00:00:00,26.5,89.9,1001.0,13.9,255.8,99.0,56.9,20.8,138.0,6.8,7.9,51.0,74.3,1754092800,0,2,8,5,74.2,74.1,73.5,80.8,74.4
2025-08-02 01:00:00,27.4,87.0,1001.4,13.7,246.8,100.0,58.7,20.4,194.0,8.5,8.5,51.0,74.4,1754096400,1,2,8,5,74.3,74.2,73.9,80.3,74.5
2025-08-02 02:00:00,27.6,85.0,1002.0,14.6,249.1,100.0,64.0,21.1,271.0,10.8,9.3,50.0,74.5,1754100000,2,2,8,5,74.4,74.2,74.0,79.8,74.5
2025-08-02 03:00:00,28.0,82.1,1002.3,18.0,247.0,100.0,63.6,20.7,316.0,12.2,10.2,51.0,74.5,1754103600,3,2,8,5,74.5,74.3,74.1,79.3,74.6
2025-08-02 04:00:00,28.4,78.5,1002.7,19.3,249.2,99.0,68.0,20.5,297.0,11.8,11.2,53.0,74.6,1754107200,4,2,8,5,74.5,74.4,74.2,78.6,74.5
2025-08-02 05:00:00,28.8,75.8,1002.7,19.6,247.9,100.0,67.1,20.0,246.0,10.5,12.1,56.0,74.5,1754110800,5,2,8,5,74.6,74.5,74.2,78.0,74.2
2025-08-02 06:00:00,28.8,75.3,1003.0,18.3,243.7,100.0,61.9,19.3,207.0,9.2,12.7,59.0,74.2,1754114400,6,2,8,5,74.5,74.5,74.3,77.4,73.8
2025-08-02 07:00:00,28.7,76.5,1002.9,17.0,241.5,97.0,64.5,19.4,197.0,7.8,12.6,62.0,73.8,1754118000,7,2,8,5,74.2,74.6,74.4,76.7,73.5
2025-08-02 08:00:00,29.4,72.3,1002.0,18.2,241.7,71.0,65.4,19.3,199.0,6.5,12.0,65.0,73.5,1754121600,8,2,8,5,73.8,74.5,74.5,76.2,73.1
2025-08-02 09:00:00,29.9,70.1,1001.1,19.6,242.7,100.0,64.7,19.3,209.0,5.8,11.6,66.0,73.1,1754125200,9,2,8,5,73.5,74.2,74.5,75.5,72.8
2025-08-02 10:00:00,29.6,71.1,1000.7,18.0,241.4,100.0,62.6,19.2,228.0,6.1,11.5,65.0,72.8,1754128800,10,2,8,5,73.1,73.8,74.6,75.0,72.6
2025-08-02 11:00:00,29.5,72.1,1000.4,18.0,237.3,63.0,60.5,19.2,255.0,7.2,11.5,62.0,72.6,1754132400,11,2,8,5,72.8,73.5,74.5,74.6,72.4
2025-08-02 12:00:00,29.2,72.7,1000.2,17.8,240.3,98.0,78.0,23.6,277.0,9.1,11.9,57.0,72.4,1754136000,12,2,8,5,72.6,73.1,74.2,74.2,72.2
2025-08-02 13:00:00,28.9,76.5,1000.9,17.3,231.3,79.0,74.0,23.7,290.0,12.9,11.8,51.0,72.2,1754139600,13,2,8,5,72.4,72.8,73.8,74.0,71.8
2025-08-02 14:00:00,28.5,78.8,1001.3,15.9,228.2,63.0,65.9,23.6,299.0,18.1,11.6,43.0,71.8,1754143200,14,2,8,5,72.2,72.6,73.5,74.1,71.6
